TradeDate,Open,High,Low,ClosePrice,Volume,Ticker,Pct_Change,MA20,MA_Volume_30,RSI_14,Market_Regime
2025-10-07,90.55,91.0,89.0,90.0,2375190,VIC,0.17,77.82,2886508.5,80.5,SIDEWAY_ACCUMULATION
2025-10-08,89.5,90.45,87.6,89.05,3265455,VIC,-1.06,79.0,2867772.3,77.18,SIDEWAY_ACCUMULATION
2025-10-09,88.5,90.8,88.15,89.75,4141178,VIC,0.79,80.09,2918899.4,77.9,SIDEWAY_ACCUMULATION
2025-10-10,89.25,96.0,89.25,96.0,4308631,VIC,6.96,81.44,2983936.17,83.06,EXPLOSION
2025-10-13,96.95,102.7,96.95,102.7,7194006,VIC,6.98,83.13,3150872.57,86.65,EXPLOSION
2025-10-14,107.95,109.85,103.45,105.95,8097094,VIC,3.16,85.05,3338131.43,87.98,EXPLOSION
2025-10-15,107.05,107.45,103.0,104.75,3766596,VIC,-1.13,86.71,3387099.6,84.63,SIDEWAY_DISTRIBUTION
2025-10-16,105.0,108.8,102.95,106.55,5230598,VIC,1.72,88.42,3494901.57,85.52,SIDEWAY_NOISE
2025-10-17,107.05,107.3,99.95,102.0,5633928,VIC,-4.27,89.68,3611142.47,73.85,PANIC
2025-10-20,100.0,102.25,95.0,97.45,5696503,VIC,-4.46,90.84,3727470.07,64.38,PANIC
2025-10-21,101.0,102.45,96.85,101.7,3712349,VIC,4.36,92.19,3762344.13,68.45,EXPLOSION
2025-10-22,102.0,102.0,96.5,101.5,4206567,VIC,-0.2,93.54,3836232.9,68.06,SIDEWAY_ACCUMULATION
2025-10-23,101.45,107.75,100.0,107.5,4780435,VIC,5.91,94.97,3894686.37,73.06,EXPLOSION
2025-10-24,107.7,111.45,107.55,109.5,3430619,VIC,1.86,96.34,3943305.97,74.5,SIDEWAY_DISTRIBUTION
2025-10-27,111.45,113.25,107.0,107.0,3910623,VIC,-2.28,97.37,4002004.6,69.51,PANIC
2025-10-28,106.75,110.3,99.55,110.05,5229446,VIC,2.85,98.5,4078808.2,71.98,EXPLOSION
2025-10-29,109.5,109.5,105.95,106.0,2748038,VIC,-3.68,99.55,4037078.23,64.52,PANIC
2025-10-30,105.25,105.9,100.75,102.05,3783654,VIC,-3.73,100.38,4016529.57,58.19,PANIC
2025-10-31,101.0,101.85,95.5,95.5,7479327,VIC,-6.42,100.74,4078377.57,49.51,PANIC
2025-11-03,95.55,99.75,93.0,97.7,3644665,VIC,2.3,101.14,4029120.23,52.1,EXPLOSION
2025-11-04,99.0,102.45,98.05,100.5,2523017,VIC,2.87,101.66,4065512.03,55.24,EXPLOSION
2025-11-05,100.5,104.0,99.25,103.25,2145538,VIC,2.74,102.37,4078451.4,58.14,EXPLOSION
2025-11-06,103.0,105.75,101.9,103.9,4615961,VIC,0.63,103.08,4138017.5,58.82,SIDEWAY_NOISE
2025-11-07,102.5,103.95,99.85,99.85,3711212,VIC,-3.9,103.27,4171062.53,53.04,PANIC
2025-11-10,99.4,102.0,96.65,99.5,2796734,VIC,-0.35,103.11,4182360.5,52.56,SIDEWAY_ACCUMULATION
2025-11-11,99.5,101.95,99.35,100.5,4231195,VIC,1.01,102.84,4167177.83,53.85,SIDEWAY_ACCUMULATION
2025-11-12,99.8,105.6,99.8,105.6,3899846,VIC,5.07,102.88,4208698.87,59.83,EXPLOSION
2025-11-13,105.0,107.9,104.6,105.6,3076522,VIC,0.0,102.83,4231645.4,59.83,SIDEWAY_ACCUMULATION
2025-11-14,105.4,105.65,104.05,105.5,2091164,VIC,-0.09,103.01,4138010.13,59.65,SIDEWAY_ACCUMULATION
2025-11-17,106.0,110.55,106.0,108.5,3904654,VIC,2.84,103.56,4187691.5,63.15,EXPLOSION
2025-11-18,108.5,110.5,107.75,110.0,3038904,VIC,1.38,103.98,4209815.3,64.8,SIDEWAY_ACCUMULATION
2025-11-19,110.0,112.5,109.5,110.25,2339549,VIC,0.23,104.41,4178951.77,65.08,SIDEWAY_ACCUMULATION
2025-11-20,110.45,115.0,110.0,114.0,2845422,VIC,3.4,104.74,4135759.9,69.05,EXPLOSION
2025-11-21,113.1,115.55,111.0,114.85,2793565,VIC,0.75,105.0,4085257.7,69.88,SIDEWAY_ACCUMULATION
2025-11-24,114.65,121.95,114.65,119.75,3221084,VIC,4.27,105.64,3952826.97,74.21,EXPLOSION
2025-11-25,121.5,124.4,120.0,121.5,3442040,VIC,1.46,106.22,3797658.5,75.56,SIDEWAY_ACCUMULATION
2025-11-26,123.5,123.5,118.75,122.5,4214022,VIC,0.82,107.04,3812572.7,76.32,SIDEWAY_ACCUMULATION
2025-11-27,123.1,126.55,122.7,124.0,2361263,VIC,1.22,108.14,3716928.2,77.46,SIDEWAY_ACCUMULATION
2025-11-28,124.1,131.4,124.1,130.2,3865882,VIC,5.0,109.87,3657993.33,81.43,EXPLOSION
2025-12-01,133.05,139.3,133.0,134.95,4524041,VIC,3.65,111.73,3618911.27,83.78,EXPLOSION
2025-12-02,135.0,138.75,131.5,137.5,4118641,VIC,1.89,113.58,3632454.33,84.89,SIDEWAY_ACCUMULATION
2025-12-03,139.45,139.45,134.6,134.7,3348394,VIC,-2.04,115.16,3603848.57,78.55,PANIC
2025-12-04,134.0,135.4,131.0,133.5,3928500,VIC,-0.89,116.64,3575450.73,75.93,SIDEWAY_ACCUMULATION
2025-12-05,142.8,142.8,139.4,142.8,7036892,VIC,6.97,118.78,3695659.83,81.17,EXPLOSION
2025-12-08,152.0,152.7,149.1,152.7,4619098,VIC,6.93,121.44,3719275.67,84.93,EXPLOSION
2025-12-09,163.3,163.3,153.0,160.0,12899048,VIC,4.78,124.42,3974929.07,86.99,EXPLOSION
2025-12-10,160.0,160.0,148.8,148.8,6630242,VIC,-7.0,126.58,4104335.87,70.95,PANIC
2025-12-11,143.0,147.6,138.4,146.0,7991747,VIC,-1.88,128.6,4244605.63,67.59,SIDEWAY_NOISE
2025-12-12,147.8,147.8,140.0,144.0,4638769,VIC,-1.37,130.52,4149920.37,65.22,SIDEWAY_ACCUMULATION
2025-12-15,143.8,147.0,140.0,142.9,5235072,VIC,-0.76,132.24,4202933.93,63.89,SIDEWAY_ACCUMULATION
2025-12-16,142.9,149.3,140.4,142.9,5348070,VIC,0.0,133.89,4297102.37,63.89,SIDEWAY_ACCUMULATION
2025-12-17,143.7,146.8,142.6,142.9,2878836,VIC,0.0,135.52,4321545.63,63.89,SIDEWAY_ACCUMULATION
2025-12-18,143.0,143.0,139.7,142.7,5429000,VIC,-0.14,136.96,4348646.93,63.59,SIDEWAY_ACCUMULATION
2025-12-19,142.7,152.1,142.0,148.5,12784300,VIC,4.06,138.64,4651083.2,68.17,EXPLOSION
2025-12-22,153.8,158.8,151.8,158.8,4500800,VIC,6.94,140.59,4707885.4,74.34,EXPLOSION
2025-12-23,165.0,169.9,163.0,169.9,6615800,VIC,6.99,143.01,4787372.23,79.05,EXPLOSION
2025-12-24,174.0,176.6,164.0,169.8,8749100,VIC,-0.06,145.38,4949014.03,78.91,SIDEWAY_NOISE
2025-12-25,167.6,174.5,158.0,158.0,6373600,VIC,-6.95,147.08,5058916.63,64.36,PANIC
2025-12-26,147.0,155.2,147.0,155.0,15336300,VIC,-1.9,148.32,5500421.17,61.27,SIDEWAY_NOISE
2025-12-29,155.0,159.9,155.0,159.7,6667000,VIC,3.03,149.56,5592499.37,64.18,EXPLOSION
2025-12-30,159.7,163.0,151.6,163.0,8091800,VIC,2.07,150.83,5760929.23,66.1,EXPLOSION
2025-12-31,163.0,172.0,158.8,169.6,9438700,VIC,4.05,152.57,5997567.6,69.61,EXPLOSION
